Wall time,Step,Value
1767440740.6429586,500485,61.0
1767440753.2528064,501763,157.0
1767440759.154042,502366,140.0
1767440778.1968603,504071,82.0
1767440779.7517939,504237,89.0
1767440783.0486894,504567,90.0
1767440789.3558877,505206,91.0
1767440793.2477589,505532,116.0
1767440810.6397781,507289,182.0
1767440814.2361655,507675,112.0
1767440841.9287896,509912,94.0
1767440850.0088267,510760,128.0
1767440855.2300851,511157,82.0
1767440878.770082,513172,69.0
1767440896.0086899,514509,119.0
1767440913.2374117,516051,107.0
1767440917.5891347,516382,82.0
1767440928.8497074,517236,152.0
1767440942.4758315,518500,71.0
1767440948.695839,519009,65.0
1767440950.7273834,519179,79.0
1767440952.3692229,519306,127.0
1767440957.6981583,519711,62.0
1767440977.6180215,521448,98.0
1767441008.2782223,524064,221.0
1767441012.7196667,524490,70.0
1767441032.9230986,526256,112.0
1767441037.3850076,526736,60.0
1767441042.6885417,527161,59.0
1767441052.4921315,527912,143.0
1767441056.6791162,528382,76.0
1767441058.8614378,528592,113.0
1767441090.6365714,531147,80.0
1767441110.347562,532787,108.0
1767441113.3998432,533061,152.0
1767441124.560508,534063,82.0
1767441143.5484414,535535,70.0
1767441152.7495158,536478,102.0
1767441164.4560175,537412,146.0
1767441188.1176858,539395,139.0
1767441193.155232,539771,71.0
1767441273.6257129,546291,102.0
1767441275.7187448,546446,155.0
1767441297.5471466,548237,97.0
1767441300.6188352,548472,98.0
1767441304.1177137,548730,124.0
1767441324.552211,550346,83.0
1767441327.0934885,550618,101.0
1767441327.9892895,550703,85.0
1767441343.350652,551871,152.0
1767441368.3522158,553956,163.0
1767441371.3415012,554183,125.0
1767441402.3985584,556772,109.0
1767441406.556756,557087,113.0
1767441424.4144287,558699,220.0
1767441432.4613962,559312,214.0
1767441469.311929,562337,70.0
1767441482.593358,563585,136.0
1767441491.0267646,564234,114.0
1767441493.293185,564405,76.0
1767441499.2689147,564860,81.0
1767441500.806102,564976,116.0
1767441521.0732968,566753,151.0
1767441541.8384466,568569,102.0
1767441546.4647558,568919,266.0
1767441560.3907523,569981,95.0
1767441566.9527485,570647,79.0
1767441567.9620802,570754,107.0
1767441569.4756205,570897,71.0
1767441575.1506763,571332,98.0
1767441578.5411637,571589,102.0
1767441596.5826948,573135,79.0
1767441612.0460467,574368,123.0
1767441626.6605508,575650,158.0
1767441631.3439517,576082,66.0
1767441669.9847834,579270,105.0
1767441675.10075,579659,87.0
1767441679.58263,580000,95.0
1767441680.8173108,580093,93.0
1767441686.8908372,580735,99.0
1767441698.0884264,581656,99.0
1767441703.1373713,582042,89.0
1767441709.2296581,582506,166.0
1767441715.3400133,583088,157.0
1767441718.3641305,583420,91.0
1767441731.4640112,584438,85.0
1767441737.791226,584915,198.0
1767441740.2135592,585097,96.0
1767441742.9863873,585335,120.0
1767441749.1329665,586016,107.0
1767441759.271454,586796,138.0
1767441763.9462922,587153,267.0
1767441771.6539288,587741,132.0
1767441773.26261,587900,82.0
1767441778.9449382,588528,201.0
1767441783.9005184,588916,116.0
1767441796.0005636,589835,151.0
1767441797.339648,589927,92.0
1767441831.0760808,592732,209.0
1767441836.1135132,593257,140.0
1767441881.0357375,597007,130.0
1767441891.9294515,597846,92.0
1767441900.8378963,598771,100.0
1767441923.851618,600263,98.0
1767441927.2894537,600663,94.0
1767441937.8636622,601525,128.0
1767441941.6375809,601815,169.0
1767441951.0957634,602536,178.0
1767441954.2611887,602838,150.0
1767441977.7534308,604812,123.0
1767441978.861126,604897,85.0
1767441989.627495,605973,74.0
1767441993.0137105,606237,91.0
1767442005.514209,607192,136.0
1767442011.860388,607678,224.0
1767442016.3884065,608191,113.0
1767442028.9781976,609235,105.0
1767442029.706026,609290,55.0
1767442038.5752876,609970,168.0
1767442039.984559,610078,108.0
1767442044.416335,610497,58.0
1767442066.4735262,612335,127.0
1767442074.441008,613032,221.0
1767442077.3433974,613369,152.0
1767442090.2773194,614408,94.0
1767442106.9711576,615870,92.0
1767442130.0977476,617694,124.0
1767442143.0622776,618933,99.0
1767442154.330321,619800,120.0
1767442157.205371,620021,79.0
1767442159.751241,620218,72.0
1767442163.9499958,620608,88.0
1767442169.0741692,621164,109.0
1767442175.409913,621652,82.0
1767442190.8204327,622839,125.0
1767442195.447975,623319,77.0
1767442200.200317,623792,118.0
1767442213.5822825,624820,92.0
1767442219.1989987,625247,117.0
1767442259.6339812,628760,73.0
1767442265.9332223,629241,150.0
1767442267.348428,629346,105.0
1767442268.611937,629443,97.0
1767442296.660126,631811,211.0
1767442316.2032049,633472,257.0
1767442316.8322546,633539,67.0
1767442323.0240343,634063,88.0
1767442332.6598473,634796,94.0
1767442374.6168368,638320,116.0
1767442376.2540407,638509,102.0
1767442388.8536904,639546,73.0
1767442405.357939,640926,74.0
1767442407.5120819,641158,70.0
1767442411.1077507,641472,88.0
1767442436.4302464,643579,83.0
1767442446.2724493,644399,77.0
1767442454.0337782,644988,57.0
1767442460.9625695,645512,92.0
1767442470.8078756,646495,115.0
1767442478.759134,647099,77.0
1767442482.5974848,647392,92.0
1767442495.9847622,648558,122.0
1767442499.523513,648926,116.0
1767442505.1210349,649361,120.0
1767442506.3219879,649453,92.0
1767442579.180182,655519,65.0
1767442583.3716996,655879,76.0
1767442586.0062056,656185,90.0
1767442586.713634,656267,82.0
1767442613.0117779,658363,119.0
1767442626.5888302,659633,112.0
1767442629.1531234,659829,113.0
1767442634.3481855,660226,80.0
1767442642.3025758,660835,195.0
