Wall time,Step,Value
1767440740.6429398,500485,-57.2679557800293
1767440753.252783,501763,-194.7024688720703
1767440759.1540203,502366,-221.5693359375
1767440778.1968203,504071,-645.2484130859375
1767440779.751773,504237,-295.7895812988281
1767440783.0486612,504567,-18.343494415283203
1767440789.355851,505206,-466.03717041015625
1767440793.2477372,505532,-42.0842170715332
1767440810.6397572,507289,-456.7669982910156
1767440814.2361462,507675,-222.365234375
1767440841.928768,509912,-193.39767456054688
1767440850.0088072,510760,-200.69540405273438
1767440855.230066,511157,-76.96062469482422
1767440878.7700624,513172,-72.89371490478516
1767440896.0086713,514509,-27.638195037841797
1767440913.2373934,516051,-54.8697509765625
1767440917.5891147,516382,-309.2300720214844
1767440928.849688,517236,-192.26747131347656
1767440942.4758108,518500,-327.2392578125
1767440948.6958203,519009,-261.6725158691406
1767440950.7273638,519179,-97.94780731201172
1767440952.3692038,519306,-85.60985565185547
1767440957.6981368,519711,-111.48394012451172
1767440977.618001,521448,-415.8160705566406
1767441008.2782032,524064,-275.9909973144531
1767441012.7196472,524490,-82.29752349853516
1767441032.923071,526256,-247.12765502929688
1767441037.3849802,526736,-158.2879180908203
1767441042.6885152,527161,-136.41915893554688
1767441052.4920948,527912,-66.67784118652344
1767441056.67909,528382,-263.5894470214844
1767441058.8614113,528592,-112.15803527832031
1767441090.6365442,531147,-5.636305809020996
1767441110.3475351,532787,-237.02618408203125
1767441113.3998177,533061,-22.928884506225586
1767441124.560482,534063,-91.95429229736328
1767441143.5484145,535535,-148.1669158935547
1767441152.7494895,536478,-164.36904907226562
1767441164.4559913,537412,-230.34214782714844
1767441188.1176589,539395,-90.16050720214844
1767441193.155206,539771,-410.3152770996094
1767441273.6256862,546291,-91.6228256225586
1767441275.7187183,546446,-132.30853271484375
1767441297.5471203,548237,-82.34408569335938
1767441300.6188076,548472,-112.98329162597656
1767441304.117686,548730,-82.74787139892578
1767441324.5521846,550346,-171.4059295654297
1767441327.093463,550618,-11.59164047241211
1767441327.9892619,550703,-106.03688049316406
1767441343.350626,551871,-354.67510986328125
1767441368.3521905,553956,-366.6527099609375
1767441371.3414743,554183,-25.317668914794922
1767441402.3985324,556772,-176.1995391845703
1767441406.556725,557087,-239.90847778320312
1767441424.4144037,558699,-15.828899383544922
1767441432.4613695,559312,-14.084700584411621
1767441469.311903,562337,-394.2867431640625
1767441482.5933325,563585,-117.40585327148438
1767441491.0267386,564234,-114.03805541992188
1767441493.2931602,564405,-97.95535278320312
1767441499.2688878,564860,-356.7662048339844
1767441500.806076,564976,-107.05024719238281
1767441521.073271,566753,-72.79244232177734
1767441541.8384233,568569,-258.23992919921875
1767441546.464729,568919,-374.14886474609375
1767441560.3907247,569981,-133.2154998779297
1767441566.9527216,570647,-180.8514404296875
1767441567.9620547,570754,-476.6383972167969
1767441569.4755948,570897,-174.78866577148438
1767441575.1506512,571332,-284.32574462890625
1767441578.5411375,571589,-270.9614562988281
1767441596.5826676,573135,-164.7170867919922
1767441612.04602,574368,-306.1688537597656
1767441626.6605253,575650,-323.1390686035156
1767441631.3439267,576082,-173.03640747070312
1767441669.9847515,579270,-271.6936340332031
1767441675.100724,579659,-352.71246337890625
1767441679.5826035,580000,-22.152082443237305
1767441680.8172853,580093,-278.6565246582031
1767441686.8908117,580735,-201.6097869873047
1767441698.0884,581656,-138.9917755126953
1767441703.1373458,582042,-153.27200317382812
1767441709.2296321,582506,-195.10507202148438
1767441715.3399875,583088,-173.3748779296875
1767441718.3641043,583420,-233.66217041015625
1767441731.463985,584438,-123.56370544433594
1767441737.7911994,584915,-694.1317138671875
1767441740.2135334,585097,-41.54928970336914
1767441742.986361,585335,-255.8984832763672
1767441749.1329403,586016,-103.74903106689453
1767441759.2714288,586796,-133.39927673339844
1767441763.946263,587153,-347.5550842285156
1767441771.6539023,587741,-147.9755859375
1767441773.2625833,587900,-117.48638153076172
1767441778.9449117,588528,-127.88056182861328
1767441783.900492,588916,7.273048400878906
1767441796.0005383,589835,-277.8155517578125
1767441797.3396215,589927,-274.26483154296875
1767441831.0760548,592732,-91.42955017089844
1767441836.113488,593257,-192.04476928710938
1767441881.0357118,597007,-150.2461395263672
1767441891.929423,597846,-357.8935241699219
1767441900.8378696,598771,-30.185760498046875
1767441923.8515923,600263,-123.07383728027344
1767441927.2894275,600663,-184.98167419433594
1767441937.8636334,601525,-84.10060119628906
1767441941.6375542,601815,-17.349668502807617
1767441951.095737,602536,-306.8202819824219
1767441954.2611628,602838,6.212092876434326
1767441977.7534034,604812,-49.31376266479492
1767441978.8610997,604897,-274.5111083984375
1767441989.6274683,605973,-136.73179626464844
1767441993.013684,606237,-271.9900817871094
1767442005.5141826,607192,-420.06427001953125
1767442011.8603625,607678,-119.25697326660156
1767442016.3883808,608191,-81.36211395263672
1767442028.9781709,609235,-72.10919189453125
1767442029.705999,609290,-119.91097259521484
1767442038.5752606,609970,22.871854782104492
1767442039.984533,610078,-41.10319900512695
1767442044.4163086,610497,-234.49220275878906
1767442066.4734995,612335,-218.54856872558594
1767442074.440979,613032,-27.87013053894043
1767442077.3433719,613369,-409.17376708984375
1767442090.2772918,614408,-220.58152770996094
1767442106.9711304,615870,-57.297054290771484
1767442130.0977201,617694,-142.2748565673828
1767442143.0622513,618933,-471.10894775390625
1767442154.3302953,619800,-20.863733291625977
1767442157.2053444,620021,-187.3697967529297
1767442159.7512126,620218,-209.98004150390625
1767442163.9499702,620608,-161.93052673339844
1767442169.0741436,621164,-37.17106628417969
1767442175.4098864,621652,-158.7434844970703
1767442190.8204062,622839,-76.04463958740234
1767442195.4479487,623319,-224.13693237304688
1767442200.2002888,623792,-73.82573699951172
1767442213.5822568,624820,-79.5243148803711
1767442219.1989722,625247,-130.4171600341797
1767442259.6339526,628760,-254.1883544921875
1767442265.9331958,629241,-249.03038024902344
1767442267.348402,629346,-98.8908462524414
1767442268.611906,629443,-161.09693908691406
1767442296.6600995,631811,-285.2943420410156
1767442316.2031796,633472,-11.237320899963379
1767442316.8322275,633539,-102.13643646240234
1767442323.0240088,634063,-123.23694610595703
1767442332.6598213,634796,-417.51171875
