Wall time,Step,Value
1767344722.343706,5434,905.0
1767344737.423656,14445,921.0
1767344744.045233,17441,1130.0
1767344756.0024552,22745,880.0
1767344780.1244802,32908,866.0
1767344788.3910902,36255,826.0
1767344792.882591,38057,960.0
1767344797.3438454,39880,981.0
1767344799.422364,40706,826.0
1767344803.9453492,42493,961.0
1767344815.9167547,47361,764.0
1767344817.9143806,48153,792.0
1767344820.0903962,48995,842.0
1767344822.2836661,49838,843.0
1767344841.294563,57114,844.0
1767344853.807305,62018,764.0
1767344856.1097338,62900,882.0
1767344858.1548536,63692,792.0
1767344860.323848,64456,764.0
1767344870.6804595,68558,764.0
1767344887.862304,74999,820.0
1767344901.9745555,80491,792.0
1767344918.5606544,86691,764.0
1767344925.1206555,89122,824.0
1767344927.312297,89946,824.0
1767344941.714043,95509,792.0
1767344952.3799393,99565,824.0
1767344969.4039168,106236,792.0
1767344975.509349,108635,824.0
1767344977.5890965,109427,792.0
1767344996.072409,116541,792.0
1767345000.3394978,118218,792.0
1767345002.643887,119102,884.0
1767345019.7876506,125682,764.0
1767345030.2340443,129715,764.0
1767345034.3692708,131243,764.0
1767345036.4481342,132007,764.0
1767345044.7514284,135142,764.0
1767345054.9314835,139068,792.0
1767345057.0329902,139894,826.0
1767345063.7672234,142338,916.0
1767345075.792097,146978,764.0
1767345077.704073,147770,792.0
1767345088.1394658,151813,792.0
1767345092.3273413,153489,824.0
1767345094.4314187,154313,824.0
1767345103.0527337,157602,764.0
1767345105.065282,158394,792.0
1767345120.0559037,164228,844.0
1767345137.689021,170762,764.0
1767345139.6696775,171588,826.0
1767345141.6246517,172380,792.0
1767345150.3206387,175719,824.0
1767345173.2896879,184692,872.0
1767345186.3645,189693,937.0
1767345196.9149039,193719,853.0
1767345203.0918229,196159,792.0
1767345235.3249567,205734,764.0
1767345248.3527045,210722,764.0
1767345258.4804933,214630,764.0
1767345260.639489,215468,838.0
1767345265.0095909,217144,764.0
1767345273.2197165,220340,844.0
1767345281.806584,223563,825.0
1767345285.6443708,225151,764.0
1767345296.6929686,229381,882.0
1767345327.137984,241220,885.0
1767345337.633034,245337,885.0
1767345339.6862805,246129,792.0
1767345348.4262085,249475,824.0
1767345350.5240226,250317,842.0
1767345359.0849488,253582,884.0
1767345361.144331,254346,764.0
1767345365.2423408,256009,899.0
1767345371.7390177,258530,824.0
1767345382.1834307,262559,764.0
1767345384.176466,263351,792.0
1767345397.293415,268362,826.0
1767345399.3150377,269186,824.0
1767345401.2360058,269950,764.0
1767345407.1605325,272242,764.0
1767345425.9859886,279496,764.0
1767345442.5607798,285944,852.0
1767345475.213998,298522,782.0
1767345483.5558062,301835,792.0
1767345496.3132415,306752,838.0
1767345504.6483955,309986,824.0
1767345508.7332957,311570,820.0
1767345523.600657,317334,839.0
1767345534.2137597,321320,792.0
1767345536.0238774,322084,764.0
1767345568.7082188,335006,884.0
1767345596.4327219,345640,792.0
1767345598.4111943,346466,826.0
1767345602.3757513,348054,764.0
1767345614.971609,352865,764.0
1767345633.5053911,360054,764.0
1767345637.3986385,361582,764.0
1767345639.9570522,362575,993.0
1767345646.0396082,364867,764.0
1767345658.4940207,369631,764.0
