Wall time,Step,Value
1767344722.343679,5434,-20.0
1767344737.4236395,14445,-20.0
1767344744.045217,17441,-19.0
1767344756.0024374,22745,-21.0
1767344780.1244607,32908,-20.0
1767344788.3910706,36255,-21.0
1767344792.8825738,38057,-20.0
1767344797.3438258,39880,-20.0
1767344799.422345,40706,-21.0
1767344803.9453163,42493,-19.0
1767344815.916735,47361,-21.0
1767344817.9143622,48153,-21.0
1767344820.0903766,48995,-20.0
1767344822.283647,49838,-21.0
1767344841.2945406,57114,-20.0
1767344853.8072863,62018,-21.0
1767344856.1097124,62900,-21.0
1767344858.154835,63692,-21.0
1767344860.323829,64456,-21.0
1767344870.6804416,68558,-21.0
1767344887.862285,74999,-21.0
1767344901.9745362,80491,-21.0
1767344918.5606346,86691,-21.0
1767344925.120636,89122,-21.0
1767344927.3122778,89946,-21.0
1767344941.7140245,95509,-21.0
1767344952.3799205,99565,-21.0
1767344969.4038978,106236,-21.0
1767344975.5093305,108635,-21.0
1767344977.5890775,109427,-21.0
1767344996.0723896,116541,-21.0
1767345000.3394787,118218,-21.0
1767345002.6438682,119102,-21.0
1767345019.787627,125682,-21.0
1767345030.2340257,129715,-21.0
1767345034.3692515,131243,-21.0
1767345036.4481142,132007,-21.0
1767345044.7514079,135142,-21.0
1767345054.9314644,139068,-21.0
1767345057.0329716,139894,-21.0
1767345063.767195,142338,-20.0
1767345075.7920694,146978,-21.0
1767345077.7040544,147770,-21.0
1767345088.1394467,151813,-21.0
1767345092.327315,153489,-21.0
1767345094.4313996,154313,-21.0
1767345103.052715,157602,-21.0
1767345105.0652633,158394,-21.0
1767345120.0558848,164228,-21.0
1767345137.6890023,170762,-21.0
1767345139.669658,171588,-21.0
1767345141.624633,172380,-21.0
1767345150.3206198,175719,-21.0
1767345173.2896686,184692,-21.0
1767345186.3644805,189693,-19.0
1767345196.914885,193719,-21.0
1767345203.0918038,196159,-21.0
1767345235.3249385,205734,-21.0
1767345248.352686,210722,-21.0
1767345258.480475,214630,-21.0
1767345260.6394682,215468,-20.0
1767345265.0095704,217144,-21.0
1767345273.2196987,220340,-20.0
1767345281.8065643,223563,-21.0
1767345285.644352,225151,-21.0
1767345296.69295,229381,-21.0
1767345327.1379647,241220,-21.0
1767345337.6330152,245337,-21.0
1767345339.6862614,246129,-21.0
1767345348.4261904,249475,-21.0
1767345350.524004,250317,-20.0
1767345359.08493,253582,-21.0
1767345361.144313,254346,-21.0
1767345365.242322,256009,-20.0
1767345371.7389984,258530,-21.0
1767345382.183412,262559,-21.0
1767345384.1764472,263351,-21.0
1767345397.2933953,268362,-21.0
1767345399.3150187,269186,-21.0
1767345401.2359867,269950,-21.0
1767345407.160514,272242,-21.0
1767345425.9859698,279496,-21.0
1767345442.5607607,285944,-21.0
1767345475.2139797,298522,-21.0
1767345483.5557878,301835,-21.0
1767345496.313223,306752,-20.0
1767345504.6483755,309986,-21.0
1767345508.7332761,311570,-21.0
1767345523.6006374,317334,-21.0
1767345534.2137408,321320,-21.0
1767345536.0238585,322084,-21.0
1767345568.7081985,335006,-21.0
1767345596.432703,345640,-21.0
1767345598.4111729,346466,-21.0
1767345602.3757324,348054,-21.0
1767345614.9715905,352865,-21.0
1767345633.5053728,360054,-21.0
1767345637.398619,361582,-21.0
1767345639.9570334,362575,-19.0
1767345646.0395894,364867,-21.0
1767345658.4940026,369631,-21.0
1767345677.0079987,376875,-21.0
1767345683.2992263,379343,-21.0
1767345685.5018058,380185,-20.0
1767345704.2281897,387420,-21.0
1767345706.150199,388203,-21.0
1767345735.4645164,399545,-21.0
1767345745.781704,400427,-21.0
1767345749.6574383,402017,-21.0
1767345753.5159152,403545,-21.0
1767345782.6721632,414783,-21.0
1767345793.0956464,418804,-21.0
1767345797.3059218,420452,-21.0
1767345803.6038964,422861,-21.0
1767345820.4071305,429335,-21.0
1767345833.0397494,434129,-21.0
1767345836.8632483,435657,-21.0
1767345842.988889,438027,-20.0
1767345855.7386124,442908,-21.0
1767345866.4128113,447043,-21.0
1767345868.6327856,447885,-20.0
1767345887.178667,455034,-20.0
1767345891.4930165,456682,-21.0
1767345899.8250208,459919,-21.0
1767345901.8725288,460711,-21.0
1767345912.621613,464800,-21.0
1767345920.7418199,467968,-21.0
1767345922.8876045,468810,-20.0
1767345933.550778,472858,-21.0
1767345938.0010252,474651,-21.0
1767345940.4751346,475615,-20.0
1767345944.4529107,477143,-21.0
1767345948.5372858,478699,-21.0
1767345950.7389107,479463,-21.0
1767345960.8536234,483493,-21.0
1767345962.8448138,484257,-21.0
1767345977.2880216,489833,-21.0
1767345981.6184175,491495,-21.0
1767345993.783662,496163,-21.0
1767345997.817061,497779,-21.0
1767346008.5900738,501826,-21.0
1767346018.2595558,505692,-21.0
1767346022.445605,507294,-20.0
1767346048.514223,517279,-21.0
1767346062.8105543,522796,-21.0
1767346064.7609,523560,-21.0
1767346069.1653063,525237,-21.0
1767346071.2368839,526029,-21.0
1767346073.4024615,526853,-21.0
1767346075.4058957,527617,-21.0
1767346079.7729647,529205,-21.0
1767346085.4099438,531497,-21.0
1767346094.4180706,534960,-21.0
1767346104.9388452,538989,-21.0
1767346111.1067405,541401,-21.0
1767346119.9540474,544718,-21.0
1767346125.7196283,547057,-21.0
1767346127.9980276,547941,-21.0
1767346132.292798,549593,-21.0
1767346134.2929165,550357,-21.0
1767346140.8223784,552865,-20.0
1767346142.8814266,553689,-21.0
1767346149.0341506,556069,-21.0
1767346151.2437801,556911,-20.0
1767346161.888672,560995,-21.0
1767346164.1474514,561895,-20.0
1767346179.039669,567651,-21.0
1767346185.50966,570119,-21.0
1767346193.6832943,573235,-21.0
1767346199.6637669,575606,-21.0
1767346204.2321177,577363,-21.0
1767346208.5509698,579009,-21.0
1767346216.9571295,582291,-20.0
1767346225.3147118,585514,-21.0
1767346231.6294136,587912,-21.0
1767346233.6244717,588676,-21.0
1767346235.601159,589440,-21.0
1767346237.8255677,590292,-21.0
1767346250.3871489,595163,-21.0
1767346263.0680954,599983,-21.0
1767346274.7399955,601571,-21.0
1767346276.8407795,602425,-21.0
1767346285.3806345,605739,-21.0
1767346293.4932375,608874,-21.0
1767346299.8139935,611332,-21.0
1767346301.8046174,612096,-21.0
1767346303.9569902,612920,-21.0
1767346308.2315164,614550,-21.0
1767346312.4203215,616134,-21.0
1767346331.4754634,623496,-21.0
1767346333.4203253,624288,-21.0
1767346339.7965033,626790,-21.0
1767346341.7940016,627554,-21.0
1767346343.8717358,628346,-21.0
1767346348.3880937,630012,-21.0
1767346350.3206482,630804,-21.0
1767346362.6004562,635719,-21.0
1767346370.4985595,639015,-21.0
1767346372.5342014,639840,-21.0
1767346376.684944,641474,-20.0
1767346380.8592045,643124,-21.0
1767346386.8758452,645496,-21.0
1767346388.7861645,646260,-21.0
1767346390.7610557,647052,-21.0
1767346392.961813,647938,-21.0
1767346399.11258,650371,-21.0
1767346407.4022496,653623,-21.0
1767346413.2583523,655977,-21.0
1767346417.6056218,657713,-21.0
1767346419.50286,658477,-21.0
1767346421.6608047,659315,-20.0
1767346433.4867032,664094,-21.0
1767346435.419607,664858,-21.0
1767346439.7202017,666414,-21.0
1767346445.7309434,668812,-21.0
1767346453.7993257,672006,-21.0
1767346459.7696855,674326,-21.0
1767346468.4538834,677723,-21.0
1767346476.3746111,680932,-21.0
1767346480.6003108,682520,-21.0
1767346491.1144364,686600,-21.0
1767346497.6059449,689075,-21.0
1767346541.6972427,706258,-21.0
1767346545.4986892,707814,-21.0
1767346547.4200313,708578,-21.0
1767346555.9745893,711903,-21.0
1767346559.6358669,713431,-21.0
1767346567.353002,716515,-21.0
1767346572.0363293,718241,-20.0
1767346575.8556187,719825,-21.0
1767346581.414067,722145,-21.0
1767346587.256761,724484,-21.0
1767346599.9030488,729308,-21.0
1767346608.701507,732605,-21.0
1767346623.644352,738191,-21.0
1767346625.7376373,738955,-21.0
1767346627.8428204,739738,-21.0
1767346629.783236,740502,-21.0
1767346640.135365,744400,-21.0
1767346644.287166,746017,-21.0
1767346651.1222506,748566,-21.0
1767346653.3020062,749420,-21.0
1767346655.3667238,750244,-21.0
1767346657.6528082,751086,-20.0
1767346674.3215704,757334,-21.0
1767346676.1343367,758098,-21.0
1767346682.3524694,760586,-21.0
1767346696.6682734,766143,-21.0
1767346703.277464,768598,-21.0
1767346722.6610093,776197,-19.0
1767346726.6944134,777785,-21.0
1767346728.9417946,778655,-21.0
1767346731.088901,779480,-21.0
1767346737.5372963,781948,-21.0
1767346739.6103985,782772,-21.0
1767346748.4407687,786171,-21.0
1767346759.5147433,790503,-21.0
1767346761.665529,791327,-21.0
1767346769.81878,794467,-21.0
1767346772.3187501,795457,-20.0
1767346774.281551,796221,-21.0
1767346776.5677063,797105,-20.0
1767346783.216386,799591,-21.0
1767346792.9734082,800443,-21.0
1767346795.142767,801355,-21.0
1767346801.1322613,803707,-21.0
1767346803.2518578,804549,-20.0
1767346820.013608,811035,-21.0
1767346828.529185,814307,-21.0
1767346833.0304506,815977,-21.0
1767346837.0279064,817584,-21.0
1767346839.0562818,818376,-21.0
1767346853.877096,823982,-21.0
1767346856.133519,824852,-20.0
1767346858.1718547,825689,-20.0
1767346864.4592397,828131,-21.0
1767346881.2941449,834609,-21.0
1767346885.3623035,836137,-21.0
1767346893.7358131,839434,-21.0
1767346895.884449,840260,-21.0
1767346901.886319,842552,-21.0
1767346906.0267677,844140,-21.0
1767346910.2302153,845746,-21.0
1767346920.7254071,849778,-21.0
1767346943.3295765,858505,-21.0
1767346947.1613305,860033,-21.0
1767346960.0454755,864993,-20.0
1767346962.1044388,865785,-21.0
1767346966.233979,867369,-21.0
1767346971.0478947,869124,-20.0
1767346978.9623215,872314,-21.0
1767346987.1108835,875430,-21.0
1767346991.3601735,877080,-21.0
1767347002.4315996,881326,-20.0
1767347004.633866,882090,-21.0
1767347006.674972,882942,-21.0
1767347023.2110171,889354,-20.0
1767347036.059188,894256,-21.0
1767347044.3001356,897413,-21.0
1767347046.3108425,898177,-21.0
1767347048.4904935,899001,-21.0
1767347067.064247,906173,-21.0
1767347071.1066651,907701,-21.0
1767347077.3517458,910180,-20.0
1767347089.8805985,914930,-20.0
1767347091.7761667,915713,-21.0
1767347106.1769807,921304,-21.0
1767347110.500483,922956,-20.0
1767347151.8256214,938917,-21.0
1767347153.9298444,939737,-21.0
1767347156.2920353,940637,-21.0
1767347162.8980143,943191,-21.0
1767347165.0452855,944011,-21.0
1767347167.2031004,944835,-21.0
1767347204.9138312,959300,-21.0
1767347211.000714,961698,-21.0
1767347215.1957574,963314,-21.0
1767347230.0454018,969107,-20.0
1767347232.3468869,969993,-21.0
1767347241.0833254,973321,-21.0
1767347245.131267,974937,-21.0
1767347249.4231784,976614,-21.0
1767347259.8999784,980656,-21.0
1767347264.3425827,982413,-19.0
1767347268.4760256,984001,-21.0
1767347277.268429,987359,-21.0
1767347299.3525789,995774,-21.0
1767347323.7955656,1002244,-21.0
1767347325.7912555,1003036,-21.0
1767347328.2511642,1004001,-19.0
1767347332.4628341,1005621,-21.0
1767347339.791092,1008324,-21.0
1767347345.7925253,1010773,-21.0
1767347349.696604,1012301,-21.0
1767347356.5141432,1014853,-21.0
1767347369.039337,1019784,-21.0
1767347373.2534184,1021392,-20.0
1767347377.4751441,1023008,-21.0
1767347379.8277514,1023834,-21.0
1767347386.0706875,1026352,-21.0
1767347390.251606,1027968,-21.0
1767347396.8874073,1030437,-20.0
1767347413.8948438,1037103,-21.0
1767347428.7958848,1042755,-21.0
1767347440.7206151,1047435,-21.0
1767347449.3476422,1050667,-21.0
1767347451.2829392,1051459,-21.0
1767347453.342492,1052285,-21.0
1767347455.5085428,1053137,-21.0
1767347468.8448765,1058244,-21.0
1767347474.9653678,1060614,-20.0
1767347490.3529334,1066495,-21.0
1767347494.4321606,1068051,-21.0
1767347501.350993,1070583,-21.0
1767347503.1475925,1071347,-21.0
1767347509.4277043,1073852,-20.0
1767347522.4049733,1078732,-21.0
1767347527.601109,1080426,-20.0
1767347534.136654,1082866,-21.0
1767347540.5161142,1085214,-21.0
1767347542.6292856,1086038,-21.0
1767347544.8046098,1086802,-21.0
1767347546.9591026,1087566,-21.0
1767347549.2005215,1088392,-21.0
1767347561.6873553,1092976,-21.0
1767347587.9088125,1102735,-21.0
1767347601.66398,1107752,-21.0
1767347612.8073997,1111949,-21.0
1767347621.3589177,1115121,-21.0
1767347636.675949,1120941,-21.0
1767347641.1164045,1122678,-21.0
1767347651.5596235,1126558,-21.0
1767347653.5379624,1127322,-21.0
1767347660.357142,1129776,-21.0
1767347662.401338,1130602,-21.0
1767347666.3392081,1132130,-21.0
1767347668.3709257,1132894,-21.0
1767347675.5876355,1135583,-20.0
1767347712.0857127,1149327,-21.0
1767347714.746968,1150299,-21.0
1767347717.0592446,1151185,-21.0
1767347727.6932182,1155287,-21.0
1767347734.0817313,1157745,-21.0
1767347742.2417483,1160908,-21.0
1767347744.1740355,1161672,-21.0
1767347746.1870975,1162436,-21.0
1767347755.2005577,1165778,-20.0
1767347757.1482613,1166542,-21.0
1767347763.2533789,1168862,-21.0
1767347771.273375,1172022,-21.0
1767347775.8686867,1173704,-20.0
1767347803.0127358,1184334,-21.0
1767347805.1966465,1185176,-20.0
1767347824.749557,1192694,-20.0
1767347826.6190517,1193458,-21.0
1767347857.6451216,1202525,-21.0
1767347874.7512202,1209103,-21.0
1767347876.9142041,1209927,-21.0
1767347883.3057148,1212394,-21.0
1767347887.4123964,1214012,-21.0
1767347889.5486064,1214836,-21.0
1767347906.3528721,1221345,-21.0
1767347908.4592457,1222169,-21.0
1767347910.5837903,1222993,-21.0
1767347919.2703443,1226309,-21.0
1767347923.6498606,1227897,-21.0
1767347927.6734328,1229547,-21.0
1767347944.366199,1235934,-21.0
1767347954.5189056,1239921,-20.0
1767347956.6841643,1240745,-21.0
1767347963.0658824,1243125,-21.0
1767347977.3597705,1248741,-21.0
1767348002.2133315,1258327,-21.0
1767348013.0704322,1262410,-21.0
1767348014.9179757,1263174,-21.0
1767348018.9460065,1264780,-21.0
1767348020.9187784,1265544,-21.0
1767348033.7028332,1270432,-21.0
1767348048.1641366,1276044,-21.0
1767348050.147246,1276808,-21.0
1767348069.07447,1284118,-20.0
1767348077.2525957,1287239,-21.0
1767348081.6289809,1288907,-21.0
1767348089.9044983,1292142,-21.0
1767348108.9601827,1299488,-21.0
1767348112.9196694,1301016,-21.0
1767348119.445668,1303464,-20.0
1767348123.3880215,1305039,-21.0
1767348125.6915765,1305952,-21.0
1767348136.1439483,1309888,-21.0
1767348152.9392292,1316474,-21.0
1767348157.558231,1318136,-20.0
1767348171.7978568,1323771,-21.0
1767348173.8033595,1324535,-21.0
1767348182.1975582,1327781,-21.0
1767348192.4416983,1331738,-21.0
1767348198.6798148,1334120,-21.0
1767348202.7388148,1335648,-21.0
1767348208.9609041,1338134,-20.0
1767348215.0988805,1340488,-21.0
1767348223.7633932,1343791,-21.0
1767348241.1478093,1350490,-21.0
1767348257.601515,1356842,-21.0
1767348261.7139246,1358398,-21.0
1767348265.782262,1360032,-20.0
1767348271.9314737,1362412,-21.0
1767348273.9536254,1363176,-21.0
1767348286.4026399,1367934,-21.0
1767348288.718474,1368726,-21.0
1767348305.3671422,1375237,-21.0
1767348311.4440718,1377608,-21.0
1767348313.565331,1378428,-21.0
1767348315.5975304,1379210,-21.0
1767348317.9376411,1380002,-21.0
1767348322.0251267,1381668,-21.0
1767348328.5161605,1384214,-21.0
1767348342.8480167,1389756,-21.0
1767348344.793554,1390520,-21.0
1767348355.7371612,1394711,-20.0
1767348359.962621,1396299,-21.0
1767348362.0722785,1397153,-21.0
1767348364.2945838,1398037,-21.0
1767348391.0179627,1405346,-21.0
1767348399.4121094,1408534,-21.0
1767348403.6028135,1410210,-21.0
1767348405.6082513,1410993,-21.0
1767348409.5769813,1412521,-21.0
1767348419.9616435,1416459,-21.0
1767348421.9175715,1417251,-21.0
1767348425.7860048,1418779,-21.0
1767348427.9487293,1419621,-20.0
1767348429.9537046,1420385,-21.0
1767348436.0309753,1422737,-21.0
1767348440.1509483,1424325,-21.0
1767348444.5239542,1426005,-20.0
1767348469.40217,1435618,-21.0
1767348488.9292672,1443056,-21.0
1767348501.3539038,1447975,-21.0
1767348503.69889,1448873,-20.0
1767348516.2420356,1453730,-21.0
1767348518.597281,1454650,-20.0
1767348520.7449443,1455476,-21.0
1767348537.1475742,1461814,-21.0
1767348551.4407215,1467610,-21.0
1767348567.5609274,1474034,-21.0
1767348569.6461182,1474876,-21.0
1767348575.7309916,1477257,-21.0
1767348590.2490456,1483006,-21.0
1767348594.3501875,1484534,-21.0
1767348602.0711849,1487652,-21.0
1767348622.5516288,1495722,-21.0
1767348624.8515632,1496546,-21.0
1767348631.435489,1499208,-20.0
1767348641.785562,1503174,-21.0
1767348649.5393586,1506352,-21.0
1767348677.065273,1517138,-19.0
1767348681.02757,1518726,-21.0
1767348683.144658,1519552,-21.0
1767348695.6800086,1524447,-21.0
1767348697.6878145,1525211,-21.0
1767348699.7368438,1526003,-21.0
1767348703.5837526,1527591,-21.0
1767348707.5776436,1529175,-21.0
1767348732.5489829,1538983,-21.0
1767348750.9769247,1546305,-20.0
1767348758.8014774,1549449,-21.0
1767348768.7429035,1553348,-21.0
1767348770.6989934,1554112,-21.0
1767348781.39825,1558419,-20.0
1767348793.6385598,1563258,-21.0
1767348795.575611,1564022,-21.0
1767348808.1302276,1568988,-21.0
1767348816.0396512,1572164,-21.0
1767348820.102314,1573771,-21.0
1767348824.2177775,1575387,-21.0
1767348836.5448909,1580232,-21.0
1767348842.9582965,1582630,-21.0
1767348847.6359017,1584576,-21.0
1767348853.8931348,1587050,-21.0
1767348860.4698653,1589537,-21.0
1767348866.2726245,1591908,-21.0
1767348870.2810996,1593514,-20.0
1767348885.2449896,1599338,-21.0
1767348896.787127,1600866,-21.0
1767348925.6961763,1610718,-21.0
1767348928.2875235,1611482,-21.0
1767348931.1564257,1612335,-21.0
1767348961.0053418,1623361,-21.0
1767348969.400807,1626505,-21.0
1767348978.4005435,1629826,-21.0
1767348980.947281,1630650,-21.0
1767348987.574359,1633090,-21.0
1767348989.9835553,1633962,-20.0
1767348996.4333572,1636379,-21.0
1767349000.6748571,1637954,-21.0
1767349005.181504,1639632,-21.0
1767349015.8791323,1643616,-21.0
1767349022.156828,1645908,-21.0
1767349026.2206707,1647496,-21.0
1767349032.5606668,1649850,-21.0
1767349038.5903258,1652170,-21.0
1767349045.5254972,1654691,-20.0
1767349049.7865975,1656395,-21.0
1767349055.9970262,1658775,-21.0
1767349062.512203,1661156,-21.0
1767349064.5718026,1661920,-21.0
1767349096.7335885,1673903,-21.0
1767349111.9900115,1679743,-20.0
1767349122.7888412,1683932,-20.0
1767349124.8594615,1684724,-21.0
1767349126.933838,1685507,-21.0
1767349131.4673336,1687247,-21.0
1767349133.452191,1688011,-21.0
