Wall time,Step,Value
1767353129.8440115,1127,-19.0
1767353130.7255492,1970,-21.0
1767353132.837588,4004,-21.0
1767353135.3547323,6417,-18.0
1767353136.4653382,7449,-21.0
1767353137.4171016,8274,-21.0
1767353138.271698,9066,-21.0
1767353139.1691465,9887,-21.0
1767353141.3273613,10908,-20.0
1767353143.3883898,11970,-21.0
1767353145.0039382,12781,-21.0
1767353147.1405802,13827,-18.0
1767353149.2166407,14865,-21.0
1767353151.2846365,15871,-21.0
1767353153.2693386,16879,-19.0
1767353154.9203632,17721,-20.0
1767353156.5456283,18513,-21.0
1767353158.2854662,19357,-21.0
1767353160.1165414,20291,-21.0
1767353161.9602382,21212,-20.0
1767353163.9641275,22156,-20.0
1767353166.0450308,23192,-19.0
1767353167.977371,24136,-21.0
1767353169.696705,24960,-21.0
1767353173.765525,26921,-20.0
1767353179.5054705,29760,-20.0
1767353181.9951396,30929,-18.0
1767353183.9093068,31810,-20.0
1767353185.8809857,32713,-20.0
1767353187.930299,33634,-20.0
1767353191.574095,35368,-21.0
1767353193.5378163,36267,-21.0
1767353195.434328,37139,-21.0
1767353197.2155879,37941,-21.0
1767353199.51409,38977,-20.0
1767353203.6524336,40830,-20.0
1767353205.6905372,41760,-21.0
1767353207.837502,42734,-21.0
1767353210.0375419,43728,-20.0
1767353211.8567727,44549,-21.0
1767353213.7191496,45387,-20.0
1767353217.7905612,47218,-21.0
1767353219.7142518,48088,-20.0
1767353223.7023828,49863,-21.0
1767353225.436435,50655,-21.0
1767353227.5210893,51598,-21.0
1767353230.3526192,52871,-18.0
1767353232.4697301,53820,-20.0
1767353234.3774586,54672,-21.0
1767353238.504453,56518,-21.0
1767353240.2136345,57282,-21.0
1767353242.1347759,58150,-21.0
1767353244.0467696,58992,-21.0
1767353246.305759,60003,-19.0
1767353248.2080128,60857,-21.0
1767353250.4681056,61865,-19.0
1767353252.5923676,62871,-21.0
1767353254.4458458,63723,-21.0
1767353256.3053093,64575,-21.0
1767353257.9961555,65339,-21.0
1767353262.167682,67218,-21.0
1767353264.1416452,68098,-21.0
1767353266.0955315,68967,-21.0
1767353268.4196265,70013,-20.0
1767353272.4838865,71828,-21.0
1767353274.8891985,72897,-19.0
1767353277.209841,73936,-20.0
1767353279.3340528,74876,-21.0
1767353283.0965815,76543,-21.0
1767353285.0302439,77398,-21.0
1767353289.1902416,79247,-20.0
1767353291.0423954,80071,-21.0
1767353292.7409823,80835,-21.0
1767353294.4467537,81599,-21.0
1767353296.3977566,82458,-21.0
1767353298.1233714,83222,-21.0
1767353301.9659374,84910,-21.0
1767353304.2527964,85895,-19.0
1767353306.5309489,86880,-19.0
1767353308.5229812,87760,-20.0
1767353310.430035,88584,-21.0
1767353312.253538,89367,-21.0
1767353314.3198678,90269,-20.0
1767353318.611242,92187,-19.0
1767353320.7481174,93108,-20.0
1767353323.12413,94125,-18.0
1767353324.9510548,94908,-21.0
1767353326.9846685,95781,-21.0
1767353328.7994034,96573,-21.0
1767353331.2385497,97633,-19.0
1767353333.6349268,98688,-20.0
1767353338.3101747,100712,-20.0
1767353340.0575585,101476,-21.0
1767353342.3881073,102488,-20.0
1767353344.5102785,103386,-20.0
1767353346.7368937,104351,-19.0
1767353349.0078108,105343,-21.0
1767353351.5226083,106429,-21.0
1767353353.36002,107221,-21.0
1767353355.3373027,108046,-21.0
1767353357.6951754,109086,-19.0
1767353359.809806,110015,-20.0
1767353361.593059,110779,-21.0
1767353363.920511,111776,-19.0
1767353366.2529492,112757,-21.0
1767353368.5986316,113577,-21.0
1767353371.1913242,114457,-21.0
1767353373.9986446,115403,-21.0
1767353376.4432461,116228,-21.0
1767353379.0858686,117111,-21.0
1767353381.7030547,117997,-21.0
1767353386.6507692,119683,-20.0
1767353389.6105995,120631,-21.0
1767353397.7330832,123355,-21.0
1767353400.7719138,124376,-19.0
1767353406.4482837,126244,-19.0
1767353409.0758402,127110,-20.0
1767353414.2876298,128849,-21.0
1767353419.881776,130682,-20.0
1767353422.2885513,131476,-21.0
1767353425.0446591,132398,-19.0
1767353427.6588337,133268,-21.0
1767353430.4391093,134202,-21.0
1767353433.0002985,135045,-21.0
1767353438.4618642,136828,-21.0
1767353441.191292,137708,-21.0
1767353444.1335826,138668,-21.0
1767353446.9851656,139616,-19.0
1767353452.6901438,141496,-20.0
1767353455.6430163,142460,-21.0
1767353458.3232512,143355,-21.0
1767353461.2435052,144329,-20.0
1767353464.02907,145241,-21.0
1767353466.5710797,146079,-20.0
1767353469.0297997,146873,-21.0
1767353474.9945352,148875,-18.0
1767353477.6800447,149755,-21.0
1767353483.385209,151601,-20.0
1767353486.0727813,152481,-21.0
1767353491.7298353,154303,-20.0
1767353494.9382646,155360,-19.0
1767353497.6083026,156241,-21.0
1767353503.599538,158193,-20.0
1767353505.8531172,158957,-21.0
1767353508.6208804,159869,-21.0
1767353514.158623,161672,-20.0
1767353517.1057656,162634,-19.0
1767353519.795197,163518,-21.0
1767353522.531724,164416,-20.0
1767353528.050158,166230,-21.0
1767353530.4597669,167013,-21.0
1767353533.160389,167900,-20.0
1767353535.6167688,168720,-21.0
1767353538.6224108,169699,-20.0
1767353541.3594246,170583,-20.0
1767353543.882272,171404,-21.0
1767353546.3716261,172215,-21.0
1767353549.0071378,173081,-20.0
1767353554.9572809,175032,-20.0
1767353558.1122236,176070,-19.0
1767353566.015697,178643,-21.0
1767353576.5941029,182082,-21.0
1767353579.7116477,183103,-19.0
1767353585.0829291,184840,-21.0
1767353588.5575156,185957,-18.0
1767353591.0986247,186781,-21.0
1767353597.4953778,188844,-19.0
1767353600.1508253,189686,-20.0
1767353603.228721,190682,-20.0
1767353605.6599922,191465,-21.0
1767353608.19865,192286,-21.0
1767353616.3871164,194908,-20.0
1767353619.4813304,195908,-21.0
1767353622.0592985,196746,-20.0
1767353625.0436125,197721,-21.0
1767353627.8703463,198635,-21.0
1767353631.106356,199673,-19.0
1767353641.7027698,200515,-20.0
1767353644.2788923,201357,-20.0
1767353646.6624086,202140,-21.0
1767353649.0326798,202923,-21.0
1767353652.4676208,204061,-18.0
1767353655.4820054,205042,-20.0
1767353660.7334087,206751,-20.0
1767353663.8892884,207784,-20.0
1767353666.5680604,208654,-20.0
1767353672.979957,210773,-19.0
1767353675.638199,211646,-21.0
1767353678.226988,212488,-20.0
1767353681.0158844,213404,-21.0
1767353683.5774543,214228,-21.0
1767353686.331865,215114,-21.0
1767353689.093867,216012,-20.0
1767353694.2401,217697,-20.0
1767353697.1036055,218631,-19.0
1767353702.1919322,220307,-21.0
1767353704.791943,221160,-21.0
1767353707.29857,221971,-21.0
1767353712.289075,223596,-20.0
1767353715.2211022,224541,-19.0
1767353717.9408574,225411,-20.0
1767353720.4509487,226235,-21.0
1767353723.743696,227294,-19.0
1767353726.2116396,228086,-21.0
1767353729.0503106,229004,-20.0
1767353731.4968154,229796,-21.0
1767353734.2489536,230680,-21.0
1767353737.5598404,231749,-19.0
1767353740.6269526,232723,-21.0
1767353743.08814,233515,-21.0
1767353745.7320108,234357,-20.0
1767353750.91077,236022,-21.0
1767353753.7222042,236928,-20.0
1767353756.1535668,237711,-21.0
1767353758.7017875,238524,-21.0
1767353764.1236167,240255,-20.0
1767353766.7787428,241093,-20.0
1767353769.5164804,241977,-21.0
1767353775.0138178,243742,-21.0
1767353780.501791,245487,-20.0
1767353786.1381662,247288,-20.0
1767353788.6274195,248080,-21.0
1767353791.3684726,248959,-20.0
1767353794.1084769,249844,-20.0
1767353797.0962594,250801,-20.0
1767353802.6782067,252595,-21.0
1767353805.2490797,253419,-21.0
1767353808.0725837,254323,-21.0
1767353810.521296,255106,-21.0
1767353813.2058575,255960,-21.0
1767353815.6890407,256752,-21.0
1767353818.1338537,257544,-21.0
1767353821.1853077,258503,-21.0
1767353835.6336966,263110,-21.0
1767353840.8938522,264799,-21.0
1767353844.2531326,265868,-20.0
1767353850.0918906,267732,-19.0
1767353853.0689087,268680,-21.0
1767353855.797362,269541,-20.0
1767353858.8224494,270487,-21.0
1767353861.539899,271358,-20.0
1767353864.3004029,272229,-20.0
1767353866.7241845,273012,-21.0
1767353869.3946786,273864,-21.0
1767353872.3667567,274810,-21.0
1767353874.9502432,275635,-21.0
1767353877.641334,276478,-21.0
1767353885.9357996,279126,-21.0
1767353888.9302816,280067,-21.0
1767353892.1022177,281077,-20.0
1767353894.786932,281931,-21.0
1767353897.6222842,282833,-20.0
1767353902.869231,284495,-21.0
1767353905.4873137,285315,-21.0
1767353908.6312048,286308,-21.0
1767353911.2682295,287133,-21.0
1767353913.9798172,287995,-20.0
1767353917.2190762,289015,-19.0
1767353919.9545403,289869,-21.0
1767353922.7500093,290740,-21.0
1767353925.8308673,291708,-20.0
1767353928.650854,292588,-21.0
1767353931.5525408,293501,-21.0
1767353935.8851697,294867,-19.0
1767353938.6651013,295737,-20.0
1767353941.2246015,296547,-21.0
1767353944.0025635,297428,-20.0
1767353946.8268864,298331,-21.0
1767353952.4911356,300104,-20.0
1767353956.1975582,301265,-19.0
1767353962.3900282,303205,-19.0
1767353968.2452297,305036,-20.0
1767353974.4937162,306996,-20.0
1767353977.1904821,307848,-21.0
1767353981.0610533,309062,-18.0
1767353984.253315,310063,-20.0
1767353987.6206615,311115,-20.0
1767353990.6478848,312064,-20.0
1767353993.9294744,313083,-20.0
1767353996.8088653,313973,-20.0
1767354000.3544636,315077,-18.0
1767354003.0820277,315929,-21.0
1767354005.910955,316817,-20.0
1767354008.855762,317736,-20.0
1767354012.2502785,318795,-21.0
1767354015.6390524,319858,-19.0
1767354019.3122551,321000,-20.0
1767354022.044961,321839,-21.0
1767354024.8475077,322704,-20.0
1767354028.6186118,323874,-19.0
1767354031.0697007,324638,-21.0
1767354033.8095732,325490,-21.0
1767354037.1423633,326523,-21.0
1767354040.495182,327570,-20.0
1767354044.0046973,328658,-20.0
1767354047.3600545,329682,-21.0
1767354050.6021435,330695,-20.0
1767354054.1906135,331808,-19.0
1767354059.0517383,333315,-17.0
1767354063.053536,334567,-19.0
1767354066.2176087,335542,-20.0
1767354070.1148355,336740,-20.0
1767354073.5338607,337800,-21.0
1767354077.654833,339075,-18.0
1767354085.4553351,341468,-21.0
1767354088.3075256,342348,-21.0
1767354094.173543,344146,-20.0
1767354096.7742832,344939,-21.0
1767354099.9356918,345918,-19.0
1767354102.456295,346682,-21.0
1767354105.2571766,347534,-21.0
1767354108.6396554,348580,-20.0
1767354112.6009881,349805,-18.0
1767354118.576614,352030,-19.0
1767354120.8025098,352963,-21.0
1767354125.7132175,354998,-20.0
1767354128.0628998,355946,-21.0
1767354130.5379477,356949,-20.0
1767354133.7599955,358169,-19.0
1767354136.4493732,359259,-18.0
1767354142.0224826,361479,-21.0
1767354145.6343143,362871,-17.0
1767354148.4631784,363998,-20.0
1767354151.2544255,365126,-20.0
1767354158.0701363,367955,-19.0
1767354162.177388,369304,-19.0
1767354171.5980992,372164,-16.0
1767354175.1118705,373225,-21.0
1767354180.844541,375474,-21.0
1767354184.6927757,377007,-16.0
1767354187.1285133,377966,-21.0
1767354194.6759405,380941,-18.0
1767354197.5374892,382063,-18.0
1767354205.730265,385252,-19.0
1767354212.1856763,387907,-18.0
1767354216.676476,389329,-18.0
1767354221.6431844,390816,-20.0
1767354229.9256904,394064,-18.0
1767354234.5408013,395906,-16.0
1767354238.1408103,397337,-17.0
1767354261.9448867,400504,-17.0
1767354265.173797,401800,-21.0
1767354268.173252,403063,-19.0
1767354272.555999,404750,-16.0
1767354277.0348513,406091,-19.0
1767354281.7759998,407503,-19.0
1767354286.2490125,408825,-20.0
1767354295.579506,412082,-18.0
1767354303.774076,415233,-19.0
1767354313.032084,418895,-16.0
1767354320.931456,421903,-19.0
1767354334.1089082,427212,-15.0
1767354340.1398876,429194,-19.0
1767354351.3758388,433466,-17.0
1767354357.0986197,435254,-17.0
1767354360.9227545,436799,-19.0
1767354365.5590343,438634,-18.0
1767354370.59869,440527,-17.0
1767354380.1946154,444199,-13.0
1767354385.1172938,445932,-18.0
1767354388.7757242,447424,-20.0
1767354392.891922,449033,-17.0
1767354399.2657967,451527,-13.0
1767354403.8539972,453195,-18.0
1767354409.8975148,455518,-18.0
1767354414.4897718,457147,-19.0
1767354419.747974,459114,-17.0
1767354425.045699,461087,-17.0
1767354432.1781445,463667,-11.0
1767354437.9870536,465775,-13.0
1767354449.390388,470028,-18.0
1767354453.3832896,471522,-20.0
1767354459.302241,473684,-14.0
1767354465.8399858,476149,-13.0
1767354471.1699245,478198,-15.0
1767354475.9715583,479938,-15.0
1767354481.228065,482089,-16.0
1767354485.73664,483748,-19.0
1767354490.9486449,485540,-14.0
1767354495.6978202,487358,-16.0
1767354502.0474625,489676,-14.0
1767354506.6738944,491333,-19.0
1767354511.9193141,493448,-16.0
1767354517.3872154,495372,-19.0
1767354523.4973726,497589,-16.0
1767354530.5759163,500359,-14.0
1767354539.2337542,503506,-8.0
1767354547.2295704,506525,-12.0
1767354552.7337418,508583,-17.0
1767354565.6469517,513332,-20.0
1767354570.9297757,515320,-15.0
1767354593.1137252,523577,-14.0
1767354599.0606806,525894,-15.0
1767354604.6166308,527835,-18.0
1767354611.271515,530450,-17.0
1767354617.7362056,532766,-17.0
1767354622.6281471,534678,-18.0
1767354628.749204,537008,-15.0
1767354634.8983972,539235,-15.0
1767354646.8488402,543809,-17.0
1767354651.8771224,545717,-16.0
1767354657.2436173,547716,-13.0
1767354671.6813946,553198,-16.0
1767354676.155946,554855,-16.0
1767354688.2322345,559450,-17.0
1767354707.7330225,566902,-17.0
1767354713.7019782,569203,-15.0
1767354718.651245,571079,-18.0
1767354726.7606938,574131,-9.0
1767354732.4570508,576364,-14.0
1767354739.1492417,578893,-13.0
1767354744.136775,580834,-19.0
1767354749.9542906,583085,-14.0
1767354756.448533,585603,-15.0
1767354762.1374762,587801,-13.0
1767354767.9801881,590075,-14.0
1767354781.5716124,595369,-10.0
1767354787.880193,597643,-16.0
1767354793.4183843,599666,-15.0
1767354822.4515717,601769,-14.0
1767354829.3832798,604460,-13.0
1767354835.6029003,606898,-13.0
1767354841.8411036,609303,-13.0
1767354854.798336,614279,-17.0
1767354860.532117,616423,-19.0
1767354867.2520754,618977,-13.0
1767354872.2825253,620923,-15.0
1767354910.3132079,635281,-16.0
1767354923.7440503,640333,-11.0
1767354931.703801,643211,-13.0
1767354938.050105,645619,-16.0
1767354945.2579546,648373,-10.0
1767354951.0311177,650578,-16.0
1767354956.115722,652543,-18.0
1767354961.5480037,654588,-15.0
1767354967.8387516,657028,-9.0
1767354973.9263783,659331,-9.0
1767354979.1638918,661303,-16.0
1767354985.6018672,663742,-14.0
1767354991.7156892,666025,-15.0
1767354997.5838172,668290,-11.0
1767355002.5978432,670195,-18.0
1767355008.085475,672262,-13.0
1767355012.0046546,673817,-19.0
1767355017.4375436,675830,-15.0
1767355029.0000997,680225,-18.0
1767355036.5803645,682988,-15.0
1767355042.7702055,685298,-14.0
1767355052.8307688,689158,-15.0
1767355058.8231127,691383,-17.0
1767355066.2298136,694207,-15.0
1767355071.9628358,696395,-16.0
1767355078.0638378,698591,-17.0
1767355084.0907516,700856,-18.0
1767355089.4206252,702891,-15.0
1767355101.8394186,707589,-14.0
1767355109.7623239,710590,-14.0
1767355115.8333657,712892,-14.0
1767355121.8889942,715086,-15.0
1767355128.35995,717603,-13.0
1767355135.4944,720314,-12.0
1767355141.388758,722453,-17.0
1767355148.1574135,724987,-15.0
1767355153.9060013,727212,-16.0
1767355161.308124,730017,-15.0
1767355167.1596665,732207,-16.0
1767355172.4776947,734287,-13.0
1767355183.3735967,738462,-16.0
1767355188.9860115,740654,-17.0
1767355194.522783,742797,-17.0
1767355201.4921598,745457,-15.0
1767355207.0951664,747599,-18.0
1767355212.480639,749695,-14.0
1767355218.799957,752139,-14.0
1767355226.1156075,754981,-8.0
1767355234.0517828,757994,-11.0
1767355240.045057,760241,-15.0
1767355246.4962952,762696,-16.0
1767355251.5564291,764605,-16.0
1767355259.4833534,767615,-13.0
1767355266.0497508,770136,-11.0
1767355279.5033288,775244,-13.0
1767355285.2836533,777571,-13.0
1767355290.634865,779679,-16.0
1767355303.9057794,784746,-12.0
1767355310.6539814,787312,-14.0
1767355317.4480817,789971,-11.0
1767355322.1643763,791781,-18.0
1767355335.5095124,796796,-15.0
1767355341.3157942,798971,-17.0
1767355375.3908813,801208,-16.0
1767355384.6660802,804781,-8.0
1767355391.8569064,807550,-9.0
1767355400.7913873,810935,-6.0
1767355408.3424997,813817,-12.0
1767355422.142575,819048,-9.0
1767355434.8871372,823861,-12.0
1767355441.8323483,826481,-14.0
1767355447.3979864,828597,-18.0
1767355469.5777125,836999,-11.0
1767355500.036102,848551,-11.0
1767355507.3422966,851351,-14.0
1767355513.0603747,853516,-18.0
1767355517.5472524,855217,-20.0
1767355523.8636472,857608,-15.0
1767355530.4544058,860094,-11.0
1767355537.7132947,862844,-15.0
1767355545.4354672,865762,-9.0
1767355564.7565165,873203,-11.0
1767355571.1349397,875634,-13.0
1767355576.663918,877838,-16.0
1767355582.4417777,880046,-14.0
1767355595.6283507,885012,-7.0
1767355603.5046563,888036,-13.0
1767355610.0856302,890557,-12.0
1767355622.2666147,895130,-16.0
1767355629.239579,897755,-11.0
1767355635.9428737,900349,-11.0
1767355642.1729174,902690,-14.0
1767355648.4289217,905064,-8.0
1767355653.9900863,907197,-12.0
1767355661.6015263,910090,-10.0
1767355668.936644,912876,-12.0
1767355674.2060192,914923,-17.0
1767355680.3581634,917276,-12.0
1767355688.183201,920181,-15.0
1767355696.165675,923196,-12.0
1767355703.0844533,925731,-14.0
1767355712.647003,929258,-2.0
1767355721.5621102,932631,-5.0
1767355728.6098683,935252,-13.0
1767355745.8082836,941606,-16.0
1767355751.3738549,943630,-16.0
1767355757.2356987,945767,-16.0
1767355766.5391371,949196,-11.0
1767355774.6681974,952175,-10.0
1767355780.785425,954426,-15.0
1767355786.708228,956608,-17.0
1767355794.5212018,959437,-9.0
1767355801.2386801,961900,-12.0
1767355808.2826557,964481,-13.0
1767355816.4894016,967495,-10.0
1767355824.576384,970431,-13.0
1767355832.6576927,973369,-12.0
1767355841.5262902,976596,-9.0
1767355856.50949,982080,-14.0
1767355863.8257015,984805,-11.0
1767355871.2284427,987514,-14.0
1767355877.7002876,989896,-16.0
1767355884.9931853,992553,-17.0
1767355893.4203787,995640,-9.0
1767355901.9049554,998755,-12.0
1767355935.9154491,1001443,-10.0
1767355942.8847713,1004082,-13.0
1767355951.918798,1007389,-4.0
1767355960.9268422,1010711,-11.0
1767355971.0061767,1014386,-12.0
1767355978.1231277,1017006,-12.0
1767355985.9848385,1019898,-13.0
1767355992.768228,1022400,-13.0
1767356000.2224522,1025084,-15.0
1767356007.986792,1027968,-13.0
1767356017.1624186,1031358,-7.0
1767356023.8698537,1033825,-14.0
1767356032.131693,1036839,-15.0
1767356044.4478698,1041419,-10.0
1767356057.9699516,1046710,-15.0
1767356071.2126539,1051691,-15.0
1767356096.1281595,1061006,-11.0
1767356104.1270564,1064000,-7.0
1767356112.141383,1066993,-14.0
1767356120.5606203,1070121,-11.0
1767356129.0284936,1073396,-9.0
1767356137.2566817,1076503,-17.0
1767356144.0828476,1079076,-13.0
1767356152.1629944,1082177,-12.0
1767356161.1380155,1085505,-12.0
1767356167.5024881,1087944,-15.0
1767356175.2195945,1090934,-12.0
1767356184.8676727,1094595,-8.0
1767356194.521614,1098196,-15.0
1767356223.7474926,1109423,-12.0
1767356232.576204,1112756,-16.0
1767356239.5132425,1115373,-16.0
1767356258.9487948,1122762,-10.0
1767356269.3234208,1126713,-9.0
1767356277.7067475,1129775,-14.0
1767356285.9329169,1132838,-9.0
1767356293.0482035,1135521,-13.0
1767356300.1133645,1138167,-17.0
1767356309.246833,1141603,-11.0
1767356316.8995962,1144554,-12.0
1767356324.319892,1147338,-10.0
1767356337.0572865,1152214,-14.0
1767356348.962622,1156792,-9.0
1767356358.697144,1160556,-8.0
1767356365.752988,1163222,-13.0
1767356374.6014998,1166634,-10.0
1767356391.2001996,1172716,-7.0
1767356400.4570177,1176112,-11.0
1767356408.6841764,1179168,-13.0
1767356415.959691,1181919,-11.0
1767356424.5264888,1185130,-12.0
1767356432.8238044,1188175,-10.0
1767356440.9263287,1191228,-10.0
1767356450.5342927,1194820,-14.0
1767356460.45166,1198680,-1.0
1767356492.227422,1201523,-12.0
1767356501.9248238,1205140,-12.0
1767356511.003537,1208541,-8.0
1767356519.867303,1211880,-8.0
1767356527.4696026,1214744,-14.0
1767356542.159072,1220239,-10.0
1767356549.7019935,1223062,-17.0
1767356558.3382342,1226507,-11.0
1767356566.2734628,1229482,-10.0
1767356574.3805387,1232652,-13.0
1767356581.320987,1235316,-14.0
1767356588.9602435,1238247,-14.0
1767356595.4420366,1240783,-13.0
1767356626.2148447,1252460,-10.0
1767356634.5404172,1255554,-10.0
1767356653.3725617,1262688,-13.0
1767356662.305209,1266278,-8.0
1767356669.2922995,1268865,-14.0
1767356676.7645211,1271793,-12.0
1767356685.8465748,1275370,-8.0
1767356696.714337,1279431,-5.0
1767356713.7008212,1285767,-12.0
1767356721.683019,1288835,-11.0
1767356731.7888155,1292661,-11.0
1767356741.5468674,1296409,-7.0
1767356748.8664064,1299218,-13.0
1767356759.382095,1303203,-3.0
1767356768.856407,1306822,-11.0
1767356777.9277763,1310296,-12.0
1767356796.4001226,1317292,-13.0
1767356807.4975262,1321603,-5.0
1767356815.8468232,1324719,-9.0
1767356824.39654,1327934,-13.0
1767356831.8773515,1330906,-13.0
1767356841.2825942,1334529,-6.0
1767356851.963215,1338624,-7.0
1767356861.7189736,1342313,-13.0
1767356871.578013,1346096,-6.0
1767356883.5986938,1350561,-11.0
1767356890.430631,1353127,-15.0
1767356899.500588,1356598,-8.0
1767356908.2553546,1359883,-10.0
1767356916.292501,1362880,-11.0
1767356925.606737,1366433,-10.0
1767356934.8624804,1370038,-10.0
1767356943.6887155,1373423,-10.0
1767356953.341164,1377291,-12.0
1767356963.1650612,1380923,-12.0
1767356971.9031308,1384355,-10.0
1767356981.1616974,1388031,-9.0
1767356993.089923,1392502,-5.0
1767357004.694334,1396993,-5.0
1767357063.915211,1404385,-4.0
1767357072.7254815,1407792,-7.0
1767357084.327006,1412177,3.0
1767357094.5535743,1416104,-5.0
1767357106.5400674,1420723,3.0
1767357116.3164277,1424439,-7.0
1767357128.7712781,1429176,-3.0
1767357138.3489673,1432719,-10.0
1767357162.23589,1441989,-5.0
1767357174.8127725,1446729,4.0
1767357184.9045331,1450589,-10.0
1767357196.2209678,1454954,-3.0
1767357207.8840644,1459359,-1.0
1767357217.6268535,1463099,-8.0
1767357240.2167318,1471736,-8.0
1767357249.4891605,1475268,-8.0
1767357262.6617234,1480191,-1.0
1767357273.0081701,1484242,-8.0
1767357295.7846448,1492922,-6.0
1767357305.39924,1496481,-12.0
1767357317.3491576,1501118,-7.0
1767357355.5582314,1515540,-1.0
1767357364.4485624,1519020,-7.0
1767357374.7452776,1522964,-8.0
1767357384.4011734,1526648,-8.0
1767357392.309544,1529891,-9.0
1767357402.1431177,1533704,-11.0
1767357412.6689026,1537678,-8.0
1767357424.1188145,1541975,-6.0
1767357434.2371678,1545805,-2.0
1767357445.3055954,1549934,-3.0
1767357455.1439633,1553664,-6.0
1767357463.0098937,1556651,-11.0
1767357474.980159,1561206,-6.0
1767357496.4156342,1569109,-2.0
1767357506.3787372,1572813,-10.0
1767357528.1894345,1580982,-8.0
1767357537.3968132,1584416,-12.0
1767357546.6573327,1587898,-7.0
1767357557.207107,1591803,-10.0
1767357576.186973,1598962,-12.0
1767357644.653418,1604305,-2.0
1767357657.4442303,1609123,-7.0
1767357670.4112082,1613940,1.0
1767357690.8599622,1621670,4.0
1767357715.169333,1630767,-6.0
1767357736.9716897,1639076,-7.0
1767357750.2548096,1644085,1.0
1767357765.9254336,1650008,-3.0
1767357775.8320615,1653665,-14.0
1767357790.3050497,1659098,1.0
1767357837.385952,1676978,-5.0
1767357846.1055691,1680237,-11.0
1767357856.1544714,1684208,-11.0
1767357867.4051647,1688643,-8.0
1767357878.151084,1692707,-11.0
1767357904.555312,1702533,-1.0
1767357914.0104535,1705948,-13.0
1767357923.7767372,1709565,-10.0
1767357931.4968548,1712352,-14.0
1767357941.747232,1716086,-11.0
1767357952.4438214,1719856,-6.0
1767357962.1332774,1723299,-9.0
1767357972.7889345,1727168,-9.0
1767357985.5471656,1731725,-6.0
1767357997.3991117,1735984,1.0
1767358020.1731057,1744153,-3.0
1767358030.9104598,1748015,4.0
1767358041.6215048,1751828,-9.0
1767358051.2002623,1755267,-9.0
1767358062.1607757,1759310,-1.0
1767358073.1965091,1763323,1.0
1767358083.0628874,1766953,-9.0
1767358091.7238019,1770076,-14.0
1767358101.3521595,1773508,-13.0
1767358112.9830647,1777781,-2.0
1767358127.0632384,1782663,-1.0
1767358139.634885,1787122,-5.0
1767358148.3771746,1790479,-5.0
1767358159.5654469,1794705,3.0
1767358170.3704977,1798784,-8.0
1767358225.6484778,1802281,-9.0
1767358237.5234947,1806583,-2.0
1767358259.4043694,1814441,-9.0
1767358271.3124824,1818755,-5.0
1767358283.8606844,1823294,1.0
1767358295.4974368,1827450,1.0
1767358305.6431375,1831235,-5.0
1767358317.9289534,1835688,5.0
1767358331.797024,1840731,2.0
1767358341.8850207,1844402,-7.0
1767358351.7838397,1847929,-6.0
1767358366.5389748,1853333,-2.0
1767358378.9352996,1857724,-3.0
1767358391.8723898,1862318,3.0
1767358415.4177077,1870570,6.0
1767358424.8793235,1873887,-12.0
1767358437.7195666,1878439,-4.0
1767358449.7773373,1882811,-3.0
1767358468.579393,1889440,-14.0
1767358479.6054046,1893154,5.0
1767358490.4907348,1897013,-5.0
1767358499.3120375,1900176,-12.0
1767358512.9133215,1904683,-8.0
1767358521.9868414,1907804,-9.0
1767358541.8330536,1914681,-12.0
1767358551.2348878,1917847,-10.0
1767358572.2714002,1925097,-10.0
1767358582.3123236,1928525,-8.0
1767358593.6673727,1932319,-5.0
1767358607.0246308,1936814,3.0
1767358616.174162,1940113,-4.0
1767358626.5339272,1943715,-6.0
1767358647.0107238,1951075,-4.0
1767358667.2490323,1958271,-4.0
1767358699.8398085,1970067,-6.0
1767358710.4640064,1973849,-4.0
1767358719.0824714,1976989,-13.0
1767358731.0216458,1981064,-7.0
1767358753.8909173,1989112,9.0
1767358763.8236265,1992706,-7.0
1767358774.6738148,1996494,-6.0
1767358835.7878067,2003945,-10.0
1767358845.6117678,2007402,-8.0
1767358859.6212897,2012398,-1.0
1767358871.907811,2016746,2.0
1767358892.4291985,2024247,3.0
1767358902.411854,2028157,-4.0
1767358914.063227,2032331,-5.0
1767358924.1864417,2035939,-5.0
1767358933.2886827,2039121,-11.0
1767358943.8408465,2042862,-10.0
1767358954.2179775,2046656,-7.0
1767358965.3984087,2050705,-6.0
1767358974.7494843,2054091,-6.0
1767358988.8728015,2059176,-1.0
1767359001.2831326,2063570,-5.0
1767359016.9858253,2069049,-1.0
1767359041.2013788,2077694,-9.0
1767359064.2835803,2086554,-4.0
1767359076.4059262,2090568,3.0
1767359104.9823575,2099374,-5.0
1767359120.1420972,2104339,-1.0
1767359134.103151,2109400,-1.0
1767359145.0970523,2113249,8.0
1767359158.1239915,2117870,-2.0
1767359169.63934,2121918,-4.0
1767359179.1941714,2125262,-6.0
1767359193.097616,2130170,-1.0
1767359204.4133956,2134268,-1.0
1767359214.901216,2138179,1.0
1767359225.132245,2141964,-6.0
1767359235.0997524,2145676,2.0
1767359254.5770948,2152638,-7.0
1767359265.4777124,2156704,-5.0
1767359278.7617922,2161397,-1.0
1767359288.4433315,2164929,9.0
1767359298.0877542,2168318,7.0
